customer_id,customer_name,gender,birth_date,loyalty_status
1,Christopher Silva,Female,1997-03-02,Silver
2,John Gonzales,Female,1990-01-12,Gold
3,John Lopez,Female,1961-03-15,Bronze
4,Jenna Zhang,Male,1968-05-08,Bronze
5,Karen Hill,Female,2007-01-12,None
6,Jason Clarke,Other,1972-02-29,Gold
7,Jessica Stone,Female,1971-07-16,Bronze
8,Christopher Blake,Male,2003-11-06,Silver
9,Elijah Francis,Other,1967-06-09,Silver
10,Nicole Wright,Male,1970-09-30,Gold
11,Joseph Jordan,Female,1951-07-24,Gold
12,Heidi Meyer,Other,1975-09-18,None
13,Christy Foster,Male,1968-11-11,Silver
14,Miss Christine Morgan,Female,1977-12-20,Bronze
15,Eric Arnold,Other,1947-01-13,None
16,Johnny Cooper,Female,1953-02-26,Bronze
17,William Scott,Other,2004-09-04,Silver
18,Karen Smith,Male,1996-01-01,Silver
19,Beverly Williams,Other,2007-01-03,Gold
20,Elizabeth Wilson,Female,1996-04-12,Silver
21,Sarah Pugh,Female,1948-08-12,Bronze
22,Cynthia Lawson,Female,1945-04-09,None
23,Dorothy Turner,Male,1980-05-13,Silver
24,Christopher Macdonald,Other,1995-04-19,Silver
25,Ricardo Smith,Male,1968-07-24,Silver
26,Jason Bennett,Other,2007-01-08,Silver
27,Julie Smith,Other,1996-12-18,Bronze
28,Julia Moore,Male,1972-11-24,None
29,Jose Hurley,Male,1950-08-29,Bronze
30,Courtney Smith,Male,1975-10-14,Bronze
31,Juan Palmer,Female,1946-02-19,Gold
32,Christina Williams,Other,1978-02-21,Gold
33,Nicole Gilmore,Other,1957-04-21,Gold
34,James Smith,Female,1993-06-30,None
35,Bryan Wall,Other,1971-03-23,Silver
36,Eddie Leon,Female,1998-08-17,Gold
37,Jennifer Delgado,Other,1946-02-13,Bronze
38,Mary Morris,Male,2007-02-16,Silver
39,Martin Miles,Other,1982-10-21,None
40,Stephanie Bruce,Other,2001-11-11,None
41,Jennifer Zavala,Female,1963-09-04,Bronze
42,Brian Park,Other,1996-10-06,Bronze
43,Kellie Copeland,Male,2000-05-12,Silver
44,Danielle Rhodes,Other,2000-01-23,Silver
45,Johnathan Burke,Female,1981-03-19,Bronze
46,Mary Arias,Other,1973-11-07,Gold
47,Frank Sullivan,Other,1947-07-02,None
48,Jonathan Baldwin,Female,2005-01-18,Bronze
49,Michelle Gonzalez,Male,1962-03-12,Silver
50,Brittany Hall,Female,1978-11-22,Silver
51,Victor Brewer,Female,1992-03-06,None
52,Angela Zimmerman,Male,1993-02-23,Silver
53,Caleb Smith,Male,1979-02-05,Bronze
54,Phillip Torres,Other,1949-04-02,Gold
55,Joe Thompson,Other,1957-08-19,None
56,Matthew Donovan,Female,1953-05-16,Silver
57,Victoria Sherman,Female,2003-10-25,Silver
58,Levi Evans,Other,1949-07-06,Gold
59,Suzanne Simon,Female,1947-09-13,None
60,Meredith Crawford,Male,1986-07-18,Silver
61,Kim Harris,Male,2002-02-16,Silver
62,Nicole Lloyd,Male,1984-03-29,Gold
63,Katherine Dixon,Female,1962-09-01,Bronze
64,Douglas Hammond,Male,1951-08-16,Bronze
65,Kimberly Madden,Male,1955-05-04,Bronze
66,Jimmy Wagner,Male,1988-05-20,Bronze
67,Jason Marsh,Other,1987-08-08,Bronze
68,Selena Zamora,Other,1975-05-12,Gold
69,John Brewer DDS,Male,1977-02-27,Silver
70,Donna Davis,Other,1973-09-26,Bronze
71,Adam Jones,Other,2005-07-14,None
72,Nicholas Davis,Male,1988-09-24,Bronze
73,Alexander Brown,Other,1953-06-29,Gold
74,Alan Brown,Other,1988-12-06,Silver
75,Tanner Cooke,Female,1974-01-16,None
76,Ryan Williams,Other,2005-10-23,Bronze
77,Suzanne Garcia,Female,1962-05-22,Bronze
78,Angel Richards,Other,1961-11-07,None
79,Richard Solomon,Other,1978-02-26,Silver
80,Charles Mcbride,Female,1981-06-09,Gold
81,Edward Wade,Female,1999-07-11,Bronze
82,Angela Lee,Male,1991-02-20,Silver
83,Sharon Smith,Female,1981-09-03,Gold
84,Bobby Cole,Female,1970-05-24,None
85,Matthew Proctor,Other,2004-02-27,Silver
86,Donna Reeves,Other,1954-04-14,Bronze
87,Casey Thompson,Female,1981-02-09,None
88,Douglas Sanchez,Other,1975-02-05,Bronze
89,Courtney Pena,Male,1995-10-16,Gold
90,Paula Serrano,Other,1962-01-08,Bronze
91,Sylvia Robinson,Male,1973-03-08,Gold
92,Brittany Stokes,Male,1950-04-25,Silver
93,Christine Horton,Male,1980-11-04,Bronze
94,Melissa Thompson,Female,1969-02-14,Silver
95,Michael Matthews,Female,1986-04-17,None
96,Dr. Brad Anderson,Female,1986-09-04,Bronze
97,Christopher Rice,Male,1988-02-23,Bronze
98,Penny White,Male,2000-07-04,None
99,Matthew Turner,Other,1947-09-18,Gold
100,Mr. Mario Caldwell,Male,1966-06-06,None
101,Michael Ortiz,Other,1999-11-28,None
102,Patrick Garrett,Male,1984-06-20,Silver
103,Jenna Mckee,Other,1948-11-02,Bronze
104,Peter Elliott,Female,1970-03-16,Silver
105,Joshua Adams,Other,2007-10-30,Silver
106,Donald Adams,Female,2001-11-24,Bronze
107,Jesse Torres,Male,1991-08-15,None
108,Anthony Nixon,Male,1968-08-02,Gold
109,Melissa Morales,Male,1983-04-28,None
110,Carl Garcia,Male,1964-04-13,None
111,Rachel Palmer,Female,1947-10-28,Silver
112,Matthew Huang,Female,2005-10-23,Bronze
113,Tammy Shaw,Other,1960-07-03,None
114,Andrew Perez,Female,1952-02-04,Silver
115,Frances Perez,Other,1989-06-22,Silver
116,Tiffany Nguyen,Female,1988-10-04,Gold
117,James Marshall,Female,1948-05-09,Gold
118,Tracy Jones,Other,1979-10-24,None
119,Duane Hoover,Other,1978-02-07,None
120,Dr. William Hernandez,Other,1979-01-06,Gold
121,Mark Johnson DVM,Male,1948-03-07,None
122,Brandi Kelley,Other,2006-01-13,Gold
123,Stacey Mcclain,Male,1973-12-19,Bronze
124,Emma Schmitt MD,Male,1950-04-16,Gold
125,Allison Anderson,Other,2003-04-04,Silver
126,Caroline Peterson,Other,1947-11-25,Gold
127,John Johnson,Female,1977-09-02,None
128,Patricia Evans,Female,1992-04-14,None
129,Ashley Wilson,Other,1955-07-31,None
130,Michael Malone,Other,1987-02-06,Silver
131,Lisa Alexander,Female,1952-12-09,None
132,David Morris,Male,1952-01-18,Silver
133,Jessica Stokes,Other,1959-12-24,None
134,Lori Stanton,Other,1958-07-20,Bronze
135,Leslie Smith,Male,1973-11-02,Gold
136,William Mills,Female,1956-06-12,None
137,Veronica Marshall,Female,1975-10-06,Bronze
138,Jillian Ford,Other,1945-09-15,Gold
139,Cameron Powell,Female,1979-07-03,Bronze
140,Michael Roberts,Male,1992-11-07,Silver
141,Ashley Bush,Other,1970-11-27,None
142,Billy Harris,Male,1989-07-20,None
143,Jack Harris,Female,1962-05-26,Bronze
144,Aaron Torres,Male,1956-11-18,Bronze
145,Rhonda Tanner,Other,1946-11-15,None
146,George Arroyo,Female,1999-12-25,Bronze
147,Shannon Gomez,Other,1946-12-25,Gold
148,Rebecca Hogan,Other,1987-07-21,None
149,Gary Rodgers,Male,1990-08-08,Bronze
150,Desiree Greer,Other,1995-05-12,Bronze
151,Marcus Norman,Male,1974-12-08,Gold
152,Shawna Williams,Female,1948-06-02,Bronze
153,Dan Davis,Other,1993-03-13,Gold
154,Deborah Perez,Other,1959-07-18,None
155,Sara Brooks,Other,1998-10-18,Silver
156,Samantha Lopez,Other,1969-12-23,Bronze
157,Joshua Sweeney,Female,1999-07-23,Silver
158,Shannon Estes,Male,1985-04-29,Gold
159,Micheal Johnson,Other,2004-01-25,Bronze
160,Lorraine Tucker,Female,1950-03-04,Gold
161,Susan Fritz,Female,1947-07-05,Gold
162,Angel Lewis,Other,1978-02-08,Bronze
163,Christopher Hensley DDS,Other,1952-02-06,Gold
164,Thomas Dixon,Female,2000-11-06,None
165,Adam Avila,Other,2001-04-13,Bronze
166,Emily Diaz,Female,1969-12-01,Bronze
167,Nancy Jones,Other,1951-08-15,None
168,William Frederick,Male,1966-09-27,Gold
169,Krista Walker,Female,1999-03-31,Silver
170,Tammy Sullivan,Other,1977-01-10,Bronze
171,Melissa Estrada,Male,1947-02-04,Bronze
172,Kyle Reynolds,Female,1999-01-10,Silver
173,William Reynolds,Other,1951-06-13,Silver
174,Charles Rhodes,Other,1997-03-27,Gold
175,Joseph Alexander,Female,1973-03-31,None
